企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
无锡民生地产集团有限公司,江苏,无锡市,91320211136007762M,潘霄燕,有限责任公司,1997-11-24,10000万人民币元,无锡市滨湖区科教软件园23号,hyh1222@126.com,"房地产开发、经营(二级)。自有房产出租服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82329002,
无锡房产网网络科技有限公司,江苏,无锡市,91320203785569757K,顾芸柔,有限责任公司,2006-03-10,50万人民币元,无锡市五爱人家2号(402、404室),740142925@qq.com,"计算机网络技术开发;信息系统集成服务;...房地产中介服务;培训服务(不含发证、不含国家统一认可的职业证书类培训);设计、制作、代理和发布国内各类广告业务;计算机维修服务;计算机软件的技术开发;计算机、软件及辅助设备、办公设备、文具用品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.wxfcw.cn,0510-82702869,0510-85058383；
无锡恒大房产开发有限公司,江苏,无锡市,91320205050257146P,郑奎,有限责任公司（法人独资）,2012-07-20,39500万人民币元,无锡市锡山区安镇街道东兴路198号,,"房地产开发经营;室内外装饰装潢;空调安装;园林绿化。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13305271024,0510-88259652；0510-88223961；0510-88537730；
无锡市汇丰房产开发有限公司,江苏,无锡市,913202111362248200,谈鹏飞,有限责任公司,1992-08-18,10000万人民币元,无锡市滨湖区滨湖街道南湖中路,82984561@qq.com,"房屋开发经营;装饰装潢服务;建筑材料、五金交电、金属材料、木材、化工产品及原料的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85109000,
无锡崇蝠房产开发有限公司,江苏,无锡市,91320200660845754U,郭健,有限责任公司(台港澳与境内合资),2007-05-28,14500万美元,无锡市中山路288-901,2289430207@QQ.COM,"从事无锡市1-001-013-064号地块商业服务设施的开发,经营本公司开发的房产,物业管理。(不含国家限制类和禁止类项目,凭有效资质证书经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771100595,0510-68881888；0510-82713577；
无锡市翠竹房地产开发有限公司,江苏,无锡市,91320205753240500F,谷小平,有限责任公司,2003-09-16,10080万人民币元,无锡市锡山区东亭春潮中路春合苑20-2号,cuizhuwx@163.com,"房地产开发、销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.wxczfc.com,0510-88221723,
无锡市方舟房产经营有限公司,江苏,无锡市,91320200466284746P,陈学平,有限责任公司,1984-08-14,2000万人民币元,锡惠弄24号,1149130515@qq.com,"房屋维修(凭有效资质证书经营);房屋租赁服务;为企业提供管理服务;装饰装修材料、建筑用材料、五金交电、卫生洁具、灯具、电线电缆的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13013622666,0510-82722146；
无锡隆达房产开发有限公司,江苏,无锡市,91320205743721730G,陈培生,有限责任公司,2002-10-22,5000万人民币元,锡山区安镇镇厚桥,,"按贰级标准从事房地产开发经营业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88789737,
无锡盛联房产开发有限公司,江苏,无锡市,91320200668381878N,陈军,有限责任公司(台港澳法人独资),2007-11-02,11050万港元,无锡市梁溪区无锡太湖广场钟书路99号的办公楼26楼单元1及2,miaofeng@greenlandhk.com,"从事无锡市区XDG-2006-48号B地块普通住宅及配套商业设施的房产开发与经营。(不含国家限制类、禁止类项目,凭有效资质证书经营。物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82852050,0510-82850667；0510-82850700；
无锡新都房产开发有限公司,江苏,无锡市,91320211550265695X,徐菁,有限责任公司（法人独资）,2010-01-29,20000万人民币元,无锡市滨湖区华庄街道苏锡西路179号,577038467@qq.com,"房地产开发与经营(凭有效资质证书经营);物业管理;车位、商铺的出租服务;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85077777,0510-85600753；
无锡明园房产开发有限公司,江苏,无锡市,91320214753224500X,沈园林,有限责任公司,2003-09-09,6000万人民币元,无锡市新区鸿山镇后宅后中路41号,,"房产开发。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡国盛房产开发有限公司,江苏,无锡市,91320200668381894C,陈军,有限责任公司(台港澳法人独资),2007-11-02,119653万港元,无锡市健康路122号303室,jingxialin@greenlandhk.com,"从事无锡市XDG-2006-48号A、F、H地块普通住宅及配套商业设施的房产开发与经营。(不含国家限制类、禁止类项目,凭有效资质证书经营。物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82855785,0510-82852050；0510-82850667；0510-82850700；
无锡盛东房产开发有限公司,江苏,无锡市,913202055546692322,郑奎,有限责任公司（法人独资）,2010-05-06,20000万人民币元,无锡市锡山区东亭街道锡沪东路58号,,"房地产开发、经营;物业管理;自营和代理各类商品及技术的进出口业务(国家限定公司经营或禁止进出口的商品及技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88259652,0510-88223961；
无锡楼上楼房产信息咨询有限公司,江苏,无锡市,91320213MA1R690K4E,王飞,有限责任公司(自然人独资),2017-09-15,5800万人民币元,无锡市惠畅里1-6,,"房地产信息咨询;房产经纪服务;房地产评估服务(凭有效资质证书经营);房地产营销策划;会议及展览服务;家政服务;清洁服务;装饰装潢服务;物业管理(凭有效资质证书经营);利用自有资金对外投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
江苏金锡房产集团有限公司,江苏,无锡市,91320205250123249N,王利军,有限责任公司,1993-08-14,3000万人民币元,无锡市锡山区东亭二泉中路82-801,jingxi101@sohu.com,"房地产经营、租赁及建设;建筑设计;装饰装璜;工程设计及工程承发包;房屋拆迁业务;道路普通货物运输。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.wxjxfc.com,0510-88202181,
无锡房管家房产经纪有限公司,江苏,无锡市,91320205MA1MPCUL0Q,陈乐强,有限责任公司(自然人独资),2016-07-07,1000万人民币元,无锡市滨湖区时代雅居B区观山路183-15号,290474414@qq.com,"房地产经纪服务;房地产营销策划;企业营销策划;企业形象策划;商务信息咨询(不含投资咨询);会议及展览服务;企业管理服务;礼仪服务;大型庆典活动策划组织服务;设计、制作、代理和发布各类广告;工艺礼品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15961718094,13812060222；
无锡市万佳房产开发有限公司,江苏,无锡市,91320206778668546B,张樑,有限责任公司,2005-09-07,5008万人民币元,无锡市惠山区洛社镇人民路95号,,"自有房屋销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13306182822,0510-85031888；
无锡灵山文化旅游集团有限公司,江苏,无锡市,9132021172057044XK,吴国平,有限责任公司,2000-04-26,200000万人民币元,无锡市马山古竹路18号,lingshangs@163.com,游园服务(限灵山景区内)、自有房产租赁;车船票务代理;园林绿化服务;物业管理;会议及展览服务;职业技能培训(不含发证);旅游咨询;企业管理咨询、企业形象策划;创意文化咨询、工程管理服务、投资咨询(不含证券、期货类)、工程勘察设计;以下限分公司经营:住宿、中餐(含凉菜、不含裱花蛋糕、生食海产品)服务。(依法须经批准的...,,0510-85683903,0510-85687151；
无锡华光汽车部件集团有限公司,江苏,无锡市,9132020670354678X4,薄铸栋,有限责任公司,1998-06-02,7200万人民币元,无锡市惠山区洛社镇福山村,zhao.weiwei@wxhg.com.cn,"汽车零部件、金属模具、通用机械配件的研发、技术服务、制造、加工及销售;利用自有资产对外投资;企业自有房产的租赁、物业管理;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.jswxhg.com,13382228321,0510-83559402；
